timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687518576181,2201,"Get pokemons: id:2, pikachu",200,OK,Pokemons with same ability 1-1,text,true,,232061,137,2,2,https://pokeapi.co/api/v2/pokemon/pikachu,2150,0,2109
1687518576198,2355,"Get pokemons: id:1, crobat",200,OK,Pokemons with same ability 1-2,text,true,,194896,136,2,2,https://pokeapi.co/api/v2/pokemon/crobat,2305,0,2092
1687518578448,204,"Find static info del pokemon pikachu, id:2",200,OK,Pokemons with same ability 1-1,text,true,,24540,136,2,2,https://pokeapi.co/api/v2/ability/static,201,0,0
1687518578654,81,Pokemon pikachu has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,232059,137,2,2,https://pokeapi.co/api/v2/pokemon/pikachu,30,0,0
1687518578559,235,"Find infiltrator info del pokemon crobat, id:1",200,OK,Pokemons with same ability 1-2,text,true,,20160,141,2,2,https://pokeapi.co/api/v2/ability/infiltrator,220,0,0
1687518578736,232,Pokemon raichu has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,207395,136,2,2,https://pokeapi.co/api/v2/pokemon/raichu,212,0,0
1687518578968,67,Pokemon voltorb has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,179346,137,2,2,https://pokeapi.co/api/v2/pokemon/voltorb,42,0,0
1687518578797,265,Pokemon zubat has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,217869,135,2,2,https://pokeapi.co/api/v2/pokemon/zubat,230,0,0
1687518579035,54,Pokemon electrode has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,196815,139,2,2,https://pokeapi.co/api/v2/pokemon/electrode,31,0,0
1687518579090,65,Pokemon electabuzz has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,219480,140,2,2,https://pokeapi.co/api/v2/pokemon/electabuzz,31,0,0
1687518579156,57,Pokemon zapdos has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,214143,136,2,2,https://pokeapi.co/api/v2/pokemon/zapdos,32,0,0
1687518579214,52,Pokemon pichu has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,188057,135,2,2,https://pokeapi.co/api/v2/pokemon/pichu,26,0,0
1687518579267,58,Pokemon mareep has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,176525,136,2,2,https://pokeapi.co/api/v2/pokemon/mareep,28,0,0
1687518579063,279,Pokemon golbat has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,206256,136,2,2,https://pokeapi.co/api/v2/pokemon/golbat,245,0,0
1687518579326,46,Pokemon flaaffy has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,177001,137,2,2,https://pokeapi.co/api/v2/pokemon/flaaffy,25,0,0
1687518579343,47,Pokemon crobat has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,194898,136,2,2,https://pokeapi.co/api/v2/pokemon/crobat,28,0,0
1687518579373,68,Pokemon ampharos has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,204480,138,2,2,https://pokeapi.co/api/v2/pokemon/ampharos,44,0,0
1687518579391,259,Pokemon hoppip has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,194599,136,2,2,https://pokeapi.co/api/v2/pokemon/hoppip,241,0,0
1687518579442,234,Pokemon elekid has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,201592,136,2,2,https://pokeapi.co/api/v2/pokemon/elekid,216,0,0
1687518579677,48,Pokemon electrike has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,174074,139,2,2,https://pokeapi.co/api/v2/pokemon/electrike,23,0,0
1687518579725,51,Pokemon manectric has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,168257,139,2,2,https://pokeapi.co/api/v2/pokemon/manectric,36,0,0
1687518579651,262,Pokemon skiploom has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,175351,138,2,2,https://pokeapi.co/api/v2/pokemon/skiploom,235,0,0
1687518579914,242,Pokemon jumpluff has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,181542,138,2,2,https://pokeapi.co/api/v2/pokemon/jumpluff,219,0,0
1687518579777,604,Pokemon emolga has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,102186,136,2,2,https://pokeapi.co/api/v2/pokemon/emolga,586,0,0
1687518580156,234,Pokemon ninjask has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,172155,137,2,2,https://pokeapi.co/api/v2/pokemon/ninjask,217,0,0
1687518580382,37,Pokemon stunfisk has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,113402,138,2,2,https://pokeapi.co/api/v2/pokemon/stunfisk,26,0,0
1687518580420,26,Pokemon toxel has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,16395,135,2,2,https://pokeapi.co/api/v2/pokemon/toxel,26,0,0
1687518580446,32,Pokemon arctozolt has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,23936,139,2,2,https://pokeapi.co/api/v2/pokemon/arctozolt,32,0,0
1687518580391,239,Pokemon seviper has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,198467,137,2,2,https://pokeapi.co/api/v2/pokemon/seviper,224,0,0
1687518580479,194,Pokemon pawmi has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,21120,135,2,2,https://pokeapi.co/api/v2/pokemon/pawmi,194,0,0
1687518580674,24,Pokemon tadbulb has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,18486,137,2,2,https://pokeapi.co/api/v2/pokemon/tadbulb,24,0,0
1687518580699,39,Pokemon bellibolt has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,18515,139,2,2,https://pokeapi.co/api/v2/pokemon/bellibolt,39,0,0
1687518580739,30,Pokemon pikachu-rock-star has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,25994,147,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-rock-star,29,0,0
1687518580769,27,Pokemon pikachu-belle has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,25994,143,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-belle,26,0,0
1687518580631,231,Pokemon spiritomb has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,158260,139,2,2,https://pokeapi.co/api/v2/pokemon/spiritomb,212,0,0
1687518580797,229,Pokemon pikachu-pop-star has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,25958,146,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-pop-star,228,0,0
1687518581026,32,Pokemon pikachu-phd has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,26002,141,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-phd,31,0,0
1687518580862,219,Pokemon cottonee has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,93600,138,2,2,https://pokeapi.co/api/v2/pokemon/cottonee,210,0,0
1687518581059,224,Pokemon pikachu-libre has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,26006,143,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-libre,223,0,0
1687518581283,26,Pokemon pikachu-cosplay has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,25824,145,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-cosplay,26,0,0
1687518581310,32,Pokemon pikachu-original-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,62358,150,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-original-cap,27,0,0
1687518581342,31,Pokemon pikachu-hoenn-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,62339,147,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-hoenn-cap,24,0,0
1687518581373,32,Pokemon pikachu-sinnoh-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,68200,148,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-sinnoh-cap,26,0,0
1687518581406,39,Pokemon pikachu-unova-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,62274,147,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-unova-cap,33,0,0
1687518581446,228,Pokemon pikachu-kalos-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,69116,147,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-kalos-cap,223,0,0
1687518581082,601,Pokemon whimsicott has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,84379,140,2,2,https://pokeapi.co/api/v2/pokemon/whimsicott,595,0,0
1687518581674,33,Pokemon pikachu-alola-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,62337,147,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-alola-cap,26,0,0
1687518581707,41,Pokemon pikachu-partner-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,52761,149,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-partner-cap,27,0,0
1687518581683,213,Pokemon litwick has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,106717,137,2,2,https://pokeapi.co/api/v2/pokemon/litwick,203,0,0
1687518581749,199,Pokemon pikachu-starter has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,16353,145,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-starter,199,0,0
1687518581949,38,Pokemon pikachu-world-cap has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,37791,147,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-world-cap,26,0,0
1687518581988,24,Pokemon pikachu-gmax has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,6681,142,2,2,https://pokeapi.co/api/v2/pokemon/pikachu-gmax,24,0,0
1687518581896,220,Pokemon lampent has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,98321,137,2,2,https://pokeapi.co/api/v2/pokemon/lampent,213,0,0
1687518582012,240,Pokemon voltorb-hisui has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,21300,143,2,2,https://pokeapi.co/api/v2/pokemon/voltorb-hisui,240,0,0
1687518582253,25,Pokemon electrode-hisui has the ability static,200,OK,Pokemons with same ability 1-1,text,true,,21614,145,2,2,https://pokeapi.co/api/v2/pokemon/electrode-hisui,25,0,0
1687518582279,245,"Get pokemons: id:3, lugia",200,OK,Pokemons with same ability 1-1,text,true,,261527,135,2,2,https://pokeapi.co/api/v2/pokemon/lugia,193,0,0
1687518582527,25,"Find multiscale info del pokemon lugia, id:3",200,OK,Pokemons with same ability 1-1,text,true,,17494,140,2,2,https://pokeapi.co/api/v2/ability/multiscale,25,0,0
1687518582553,57,Pokemon dragonite has the ability multiscale,200,OK,Pokemons with same ability 1-1,text,true,,334039,139,2,2,https://pokeapi.co/api/v2/pokemon/dragonite,24,0,0
1687518582611,47,Pokemon lugia has the ability multiscale,200,OK,Pokemons with same ability 1-1,text,true,,261543,135,2,2,https://pokeapi.co/api/v2/pokemon/lugia,21,0,0
1687518582117,591,Pokemon chandelure has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,83505,140,2,2,https://pokeapi.co/api/v2/pokemon/chandelure,573,0,0
1687518582658,53,"Get pokemons: id:4, jolteon",200,OK,Pokemons with same ability 1-1,text,true,,222136,137,2,2,https://pokeapi.co/api/v2/pokemon/jolteon,25,0,0
1687518582709,218,Pokemon espurr has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,73131,136,2,2,https://pokeapi.co/api/v2/pokemon/espurr,212,0,0
1687518582927,225,Pokemon meowstic-male has the ability infiltrator,200,OK,Pokemons with same ability 1-2,text,true,,90120,143,2,2,https://pokeapi.co/api/v2/pokemon/meowstic-male,216,0,0
1687518582714,647,"Find volt-absorb info del pokemon jolteon, id:4",200,OK,Pokemons with same ability 1-1,text,true,,21949,141,2,2,https://pokeapi.co/api/v2/ability/volt-absorb,646,0,0
