timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687706437632,31,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",992,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,31,0,0
1687706437650,20,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-19,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",990,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,20,0,0
1687706437650,190,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",979,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,190,0,0
1687706437653,211,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-16,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",983,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,211,0,0
1687706450406,212,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-15,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",979,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,212,0,0
1687706453396,20,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",988,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,20,0,0
1687706456404,21,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",992,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,21,0,0
1687706459401,22,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",985,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,22,0,0
1687706462406,25,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-15,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",984,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,25,0,0
1687706465597,21,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",990,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,21,0,0
1687706468593,22,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",994,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,22,0,0
1687706471592,24,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",994,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,24,0,0
1687706474584,23,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-15,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",990,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,23,0,0
1687706477594,20,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",992,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,20,0,0
1687706480584,23,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",998,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,23,0,0
1687706483580,27,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",990,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,27,0,0
1687706486588,19,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-15,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",992,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,19,0,0
1687706489595,24,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",994,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,24,0,0
1687706492590,21,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",992,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,21,0,0
1687706495589,22,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",988,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,22,0,0
1687706498660,225,/api/v2/super-contest-effect/${superrEffect}/,404,Not Found,PokeApi - run 1-15,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",985,190,20,20,https://pokeapi.co/api/v2/super-contest-effect/3/,225,0,0
