timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687706435669,195,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",991,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,195,0,138
1687706435671,215,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-16,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",985,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,214,0,148
1687706435669,411,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",985,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,411,0,138
1687706435670,419,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",977,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,419,0,135
1687706449334,34,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,34,0,0
1687706452320,26,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",989,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,26,0,0
1687706455310,21,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",990,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,21,0,0
1687706458287,21,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",995,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,21,0,0
1687706461895,20,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",989,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,20,0,0
1687706464884,21,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",991,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,21,0,0
1687706467904,26,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",992,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,26,0,0
1687706470900,26,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,26,0,0
1687706473905,27,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,27,0,0
1687706476899,25,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",989,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,25,0,0
1687706479895,22,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",996,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,22,0,0
1687706482897,24,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,24,0,0
1687706485896,21,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",993,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,21,0,0
1687706488887,34,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",985,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,33,0,0
1687706491893,23,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",984,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,23,0,0
1687706494893,28,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,28,0,0
1687706497897,76,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",985,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,76,0,48
1687706500883,60,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",991,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,60,0,40
1687706503892,62,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",994,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,62,0,41
1687706506899,64,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",986,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,64,0,43
1687706509839,23,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",989,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,23,0,0
1687706512867,22,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,20,20,https://pokeapi.co/api/v2/pokemon/agumon,22,0,0
1687706515863,24,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-14,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",990,136,17,17,https://pokeapi.co/api/v2/pokemon/agumon,24,0,0
1687706518860,22,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",998,136,12,12,https://pokeapi.co/api/v2/pokemon/agumon,22,0,0
1687706521804,29,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-20,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",987,136,7,7,https://pokeapi.co/api/v2/pokemon/agumon,29,0,0
1687706524873,22,/api/v2/pokemon/agumon,404,Not Found,PokeApi - run 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",997,136,2,2,https://pokeapi.co/api/v2/pokemon/agumon,22,0,0
