timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687332830389,656,Find character : Otto,200,OK,Get 5 characters 1-7,text,true,,849,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Otto,656,0,137
1687332830390,655,Find character : Bart,200,OK,Get 5 characters 1-1,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Bart,655,0,136
1687332830390,660,Find character : Apu,200,OK,Get 5 characters 1-8,text,true,,1144,147,10,10,https://apisimpsons.fly.dev/api/personajes/find/Apu,660,0,145
1687332830389,661,Find character : Homero,200,OK,Get 5 characters 1-10,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/Homero,661,0,137
1687332830390,662,Find character : Scrat,200,OK,Get 5 characters 1-5,text,true,,641,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/Scrat,662,0,136
1687332830390,664,Find character : Bart,200,OK,Get 5 characters 1-6,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Bart,664,0,146
1687332830390,665,Find character : Otto,200,OK,Get 5 characters 1-9,text,true,,849,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Otto,665,0,136
1687332830390,667,Find character : Apu,200,OK,Get 5 characters 1-2,text,true,,1144,147,10,10,https://apisimpsons.fly.dev/api/personajes/find/Apu,667,0,143
1687332830390,671,Find character : Homero,200,OK,Get 5 characters 1-3,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/Homero,671,0,143
1687332830389,672,Find character : Scrat,200,OK,Get 5 characters 1-4,text,true,,641,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/Scrat,672,0,144
1687332849599,565,Find character : Homero,200,OK,Get 5 characters 1-1,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/Homero,565,0,54
1687332851598,343,Find character : Apu,200,OK,Get 5 characters 1-10,text,true,,1144,147,10,10,https://apisimpsons.fly.dev/api/personajes/find/Apu,343,0,50
1687332853600,576,Find character : Bart,200,OK,Get 5 characters 1-7,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Bart,576,0,59
1687332855597,350,Find character : Otto,200,OK,Get 5 characters 1-8,text,true,,849,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Otto,350,0,56
1687332857596,341,Find character : Scrat,200,OK,Get 5 characters 1-5,text,true,,641,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/Scrat,341,0,47
1687332859597,361,Find character : Bart,200,OK,Get 5 characters 1-6,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Bart,361,0,62
1687332861596,357,Find character : Homero,200,OK,Get 5 characters 1-9,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/Homero,357,0,65
1687332863594,353,Find character : Apu,200,OK,Get 5 characters 1-2,text,true,,1144,147,10,10,https://apisimpsons.fly.dev/api/personajes/find/Apu,353,0,61
1687332865592,346,Find character : Otto,200,OK,Get 5 characters 1-3,text,true,,849,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Otto,346,0,56
1687332867591,344,Find character : Scrat,200,OK,Get 5 characters 1-4,text,true,,641,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/Scrat,344,0,55
1687332869758,360,Find character : Bart,200,OK,Get 5 characters 1-1,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Bart,360,0,54
1687332871982,343,Find character : Homero,200,OK,Get 5 characters 1-10,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/Homero,342,0,49
1687332873746,565,Find character : Apu,200,OK,Get 5 characters 1-7,text,true,,1144,147,10,10,https://apisimpsons.fly.dev/api/personajes/find/Apu,565,0,51
1687332875977,347,Find character : Otto,200,OK,Get 5 characters 1-8,text,true,,849,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Otto,347,0,53
1687332877982,345,Find character : Scrat,200,OK,Get 5 characters 1-5,text,true,,641,149,10,10,https://apisimpsons.fly.dev/api/personajes/find/Scrat,345,0,49
1687332879964,348,Find character : Bart,200,OK,Get 5 characters 1-6,text,true,,1892,148,10,10,https://apisimpsons.fly.dev/api/personajes/find/Bart,348,0,48
1687332881967,359,Find character : Homero,200,OK,Get 5 characters 1-9,text,true,,2350,150,10,10,https://apisimpsons.fly.dev/api/personajes/find/Homero,359,0,61
